"","name","meet_year","race_group","class_year","team","meet1","meet2","meet3","Minnesota Intercollegiate Championships"
"760","  Sandeno, Elsa",2015,"Women","FR","Carleton","26.78666667","26.23333333",27.43,"27.66"
"761","  Sandok, Connor",2015,"Men","FR","Gustavus Adolphus","29.74166667","30.875",30.308333335,"31.85333333"
"762","  Sandok, Connor",2016,"Men","SO","Gustavus Adolphus","32.65","30.53333333",36.77333333,"29.88166667"
"763","  Sandok, Connor",2017,"Men","JR","Gustavus Adolphus","31.29666667","33.4",32.348333335,"30.20833333"
"764","  Sands, Emily ",2015,"Women","JR","Gustavus Adolphus","25.12333333","26.34166667",25.7325,"25.52333333"
"765","  Sands, Emily ",2016,"Women","SR","Gustavus Adolphus","27.03333333","25.015",25.335,"25.46"
"766","  Sauerberg, Nathaniel",2016,"Men","FR","Carleton","29.28333333","29.64666667",29.465,"29.24833333"
"767","  Saul, Dylan",2012,"Men","SO","Macalester","27.89","28.67833333",28.284166665,"27.29"
"768","  Saul, Dylan",2014,"Men","SR","Macalester","29.49166667","29.445",29.468333335,"27.21666667"
"769","  Schafer, Matt ",2012,"Men","SR","Bethel","26.75833333","27.24833333",27.00333333,"26.40333333"
"770","  Schafer, Sophie",2017,"Women","FR","Carleton","28.12833333","27.3",27.75833333,"26.655"
"771","  Schaffer, Lindsey",2017,"Women","FR","St. Benedict","30.13333333","30.28166667",30.2075,"28.895"
"772","  Schein, Betsy",2015,"Women","FR","Macalester","28.96166667","28.31166667",28.63666667,"29.14166667"
"773","  Schein, Betsy",2016,"Women","SO","Macalester","30.29","28.72",29.505,"28.29666667"
"774","  Schein, Betsy",2017,"Women","JR","Macalester","26.735","27.70166667",27.60833333,"27.245"
"775","  Schifsky, Lotus ",2015,"Women","FR","Gustavus Adolphus","23.72333333","24.62166667",24.1725,"24.715"
"776","  Schifsky, Lotus ",2016,"Women","SO","Gustavus Adolphus","26","24.45",25.22333333,"25.38"
"777","  Schifsky, Lotus ",2017,"Women","JR","Gustavus Adolphus","24.70833333","24.605",24.656666665,"24.45666667"
"778","  Schmiel, Laura",2012,"Women","FR","St. Olaf","24.97333333","25.16666667",25.07,"23.95333333"
"779","  Schmiel, Laura",2014,"Women","JR","St. Olaf","26.58666667","25.54166667",26.06416667,"24.27333333"
"780","  Schmitt, Andrea",2015,"Women","FR","Concordia Moorhead","27.065","26.31666667",26.690833335,"27.865"
"781","  Schmitt, Bridget",2017,"Women","JR","St. Thomas","24.455","25.81166667",25.133333335,"25.13333333"
"782","  Schmitz, Bessie",2012,"Women","FR","Concordia Moorhead","29.87333333","30.04",29.956666665,"28.75"
"783","  Schnabel, Abigail",2015,"Women","FR","Gustavus Adolphus","25.13","24.96833333",25.049166665,"25.57666667"
"784","  Schnabel, Abigail",2017,"Women","JR","Gustavus Adolphus","24.01833333","24.86833333",24.44333333,"23.9"
"785","  Schneck, Daniel",2014,"Men","SR","Concordia Moorhead","33.44333333","30.95",32.196666665,"32.21333333"
"786","  Schneider, Alex",2015,"Men","FR","Carleton","28.49666667","28.68333333",29.80833333,"29.94833333"
"787","  Schneider, Alex",2016,"Men","SO","Carleton","28.49","29.11666667",28.803333335,"28.71833333"
"788","  Schnirring, Samantha",2015,"Women","FR","Carleton","22.61166667","23.09666667",22.85416667,"23.27333333"
"789","  Schnirring, Samantha",2016,"Women","SO","Carleton","23.19833333","23.55166667",23.82333333,"23.23833333"
